2022-03-03 17:57:24,872 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 17:57:25,250 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 17:57:25,268 - movie_logger - INFO - 1-클라우스 영화 제목 클릭... :
2022-03-03 17:57:26,267 - movie_logger - INFO - 영화 평점 클릭... :
2022-03-03 17:57:26,287 - movie_logger - INFO - 영화 제목 수집 : 클라우스
2022-03-03 17:57:26,307 - movie_logger - INFO - iframe으로 전환
2022-03-03 17:57:33,318 - movie_logger - INFO - 154,클라우스
2022-03-03 17:57:33,351 - movie_logger - INFO - 155,클라우스
2022-03-03 17:57:33,388 - movie_logger - INFO - 156,클라우스
2022-03-03 17:57:33,424 - movie_logger - INFO - 157,클라우스
2022-03-03 17:57:33,461 - movie_logger - INFO - 158,클라우스
2022-03-03 17:57:33,496 - movie_logger - INFO - 159,클라우스
2022-03-03 17:57:33,530 - movie_logger - INFO - 160,클라우스
2022-03-03 17:57:33,666 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:33,708 - movie_logger - INFO - 161,클라우스
2022-03-03 17:57:33,756 - movie_logger - INFO - 162,클라우스
2022-03-03 17:57:33,799 - movie_logger - INFO - 163,클라우스
2022-03-03 17:57:33,834 - movie_logger - INFO - 164,클라우스
2022-03-03 17:57:33,868 - movie_logger - INFO - 165,클라우스
2022-03-03 17:57:33,903 - movie_logger - INFO - 166,클라우스
2022-03-03 17:57:33,941 - movie_logger - INFO - 167,클라우스
2022-03-03 17:57:33,977 - movie_logger - INFO - 168,클라우스
2022-03-03 17:57:34,013 - movie_logger - INFO - 169,클라우스
2022-03-03 17:57:34,052 - movie_logger - INFO - 170,클라우스
2022-03-03 17:57:34,284 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:34,348 - movie_logger - INFO - 171,클라우스
2022-03-03 17:57:34,393 - movie_logger - INFO - 172,클라우스
2022-03-03 17:57:34,434 - movie_logger - INFO - 173,클라우스
2022-03-03 17:57:34,470 - movie_logger - INFO - 174,클라우스
2022-03-03 17:57:34,510 - movie_logger - INFO - 175,클라우스
2022-03-03 17:57:34,546 - movie_logger - INFO - 176,클라우스
2022-03-03 17:57:34,583 - movie_logger - INFO - 177,클라우스
2022-03-03 17:57:34,623 - movie_logger - INFO - 178,클라우스
2022-03-03 17:57:34,662 - movie_logger - INFO - 179,클라우스
2022-03-03 17:57:34,698 - movie_logger - INFO - 180,클라우스
2022-03-03 17:57:34,835 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:34,879 - movie_logger - INFO - 181,클라우스
2022-03-03 17:57:34,918 - movie_logger - INFO - 182,클라우스
2022-03-03 17:57:34,955 - movie_logger - INFO - 183,클라우스
2022-03-03 17:57:34,990 - movie_logger - INFO - 184,클라우스
2022-03-03 17:57:35,026 - movie_logger - INFO - 185,클라우스
2022-03-03 17:57:35,061 - movie_logger - INFO - 186,클라우스
2022-03-03 17:57:35,096 - movie_logger - INFO - 187,클라우스
2022-03-03 17:57:35,132 - movie_logger - INFO - 188,클라우스
2022-03-03 17:57:35,167 - movie_logger - INFO - 189,클라우스
2022-03-03 17:57:35,202 - movie_logger - INFO - 190,클라우스
2022-03-03 17:57:35,339 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:35,381 - movie_logger - INFO - 191,클라우스
2022-03-03 17:57:35,424 - movie_logger - INFO - 192,클라우스
2022-03-03 17:57:35,461 - movie_logger - INFO - 193,클라우스
2022-03-03 17:57:35,498 - movie_logger - INFO - 194,클라우스
2022-03-03 17:57:35,536 - movie_logger - INFO - 195,클라우스
2022-03-03 17:57:35,575 - movie_logger - INFO - 196,클라우스
2022-03-03 17:57:35,613 - movie_logger - INFO - 197,클라우스
2022-03-03 17:57:35,649 - movie_logger - INFO - 198,클라우스
2022-03-03 17:57:35,685 - movie_logger - INFO - 199,클라우스
2022-03-03 17:57:35,719 - movie_logger - INFO - 200,클라우스
2022-03-03 17:57:35,858 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:35,898 - movie_logger - INFO - 201,클라우스
2022-03-03 17:57:35,934 - movie_logger - INFO - 202,클라우스
2022-03-03 17:57:35,970 - movie_logger - INFO - 203,클라우스
2022-03-03 17:57:36,004 - movie_logger - INFO - 204,클라우스
2022-03-03 17:57:36,041 - movie_logger - INFO - 205,클라우스
2022-03-03 17:57:36,077 - movie_logger - INFO - 206,클라우스
2022-03-03 17:57:36,113 - movie_logger - INFO - 207,클라우스
2022-03-03 17:57:36,151 - movie_logger - INFO - 208,클라우스
2022-03-03 17:57:36,188 - movie_logger - INFO - 209,클라우스
2022-03-03 17:57:36,226 - movie_logger - INFO - 210,클라우스
2022-03-03 17:57:36,364 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:36,408 - movie_logger - INFO - 211,클라우스
2022-03-03 17:57:36,446 - movie_logger - INFO - 212,클라우스
2022-03-03 17:57:36,487 - movie_logger - INFO - 213,클라우스
2022-03-03 17:57:36,523 - movie_logger - INFO - 214,클라우스
2022-03-03 17:57:36,558 - movie_logger - INFO - 215,클라우스
2022-03-03 17:57:36,596 - movie_logger - INFO - 216,클라우스
2022-03-03 17:57:36,637 - movie_logger - INFO - 217,클라우스
2022-03-03 17:57:36,679 - movie_logger - INFO - 218,클라우스
2022-03-03 17:57:36,717 - movie_logger - INFO - 219,클라우스
2022-03-03 17:57:36,754 - movie_logger - INFO - 220,클라우스
2022-03-03 17:57:36,888 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:36,930 - movie_logger - INFO - 221,클라우스
2022-03-03 17:57:36,978 - movie_logger - INFO - 222,클라우스
2022-03-03 17:57:37,036 - movie_logger - INFO - 223,클라우스
2022-03-03 17:57:37,073 - movie_logger - INFO - 224,클라우스
2022-03-03 17:57:37,110 - movie_logger - INFO - 225,클라우스
2022-03-03 17:57:37,145 - movie_logger - INFO - 226,클라우스
2022-03-03 17:57:37,179 - movie_logger - INFO - 227,클라우스
2022-03-03 17:57:37,217 - movie_logger - INFO - 228,클라우스
2022-03-03 17:57:37,254 - movie_logger - INFO - 229,클라우스
2022-03-03 17:57:37,290 - movie_logger - INFO - 230,클라우스
2022-03-03 17:57:37,428 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:37,471 - movie_logger - INFO - 231,클라우스
2022-03-03 17:57:37,507 - movie_logger - INFO - 232,클라우스
2022-03-03 17:57:37,547 - movie_logger - INFO - 233,클라우스
2022-03-03 17:57:37,581 - movie_logger - INFO - 234,클라우스
2022-03-03 17:57:37,617 - movie_logger - INFO - 235,클라우스
2022-03-03 17:57:37,653 - movie_logger - INFO - 236,클라우스
2022-03-03 17:57:37,691 - movie_logger - INFO - 237,클라우스
2022-03-03 17:57:37,730 - movie_logger - INFO - 238,클라우스
2022-03-03 17:57:37,768 - movie_logger - INFO - 239,클라우스
2022-03-03 17:57:37,805 - movie_logger - INFO - 240,클라우스
2022-03-03 17:57:37,937 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:37,979 - movie_logger - INFO - 241,클라우스
2022-03-03 17:57:38,018 - movie_logger - INFO - 242,클라우스
2022-03-03 17:57:38,055 - movie_logger - INFO - 243,클라우스
2022-03-03 17:57:38,092 - movie_logger - INFO - 244,클라우스
2022-03-03 17:57:38,129 - movie_logger - INFO - 245,클라우스
2022-03-03 17:57:38,164 - movie_logger - INFO - 246,클라우스
2022-03-03 17:57:38,202 - movie_logger - INFO - 247,클라우스
2022-03-03 17:57:38,239 - movie_logger - INFO - 248,클라우스
2022-03-03 17:57:38,277 - movie_logger - INFO - 249,클라우스
2022-03-03 17:57:38,315 - movie_logger - INFO - 250,클라우스
2022-03-03 17:57:38,448 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:38,491 - movie_logger - INFO - 251,클라우스
2022-03-03 17:57:38,529 - movie_logger - INFO - 252,클라우스
2022-03-03 17:57:38,566 - movie_logger - INFO - 253,클라우스
2022-03-03 17:57:38,602 - movie_logger - INFO - 254,클라우스
2022-03-03 17:57:38,638 - movie_logger - INFO - 255,클라우스
2022-03-03 17:57:38,676 - movie_logger - INFO - 256,클라우스
2022-03-03 17:57:38,716 - movie_logger - INFO - 257,클라우스
2022-03-03 17:57:38,756 - movie_logger - INFO - 258,클라우스
2022-03-03 17:57:38,794 - movie_logger - INFO - 259,클라우스
2022-03-03 17:57:38,834 - movie_logger - INFO - 260,클라우스
2022-03-03 17:57:38,970 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:39,014 - movie_logger - INFO - 261,클라우스
2022-03-03 17:57:39,052 - movie_logger - INFO - 262,클라우스
2022-03-03 17:57:39,089 - movie_logger - INFO - 263,클라우스
2022-03-03 17:57:39,125 - movie_logger - INFO - 264,클라우스
2022-03-03 17:57:39,162 - movie_logger - INFO - 265,클라우스
2022-03-03 17:57:39,199 - movie_logger - INFO - 266,클라우스
2022-03-03 17:57:39,236 - movie_logger - INFO - 267,클라우스
2022-03-03 17:57:39,274 - movie_logger - INFO - 268,클라우스
2022-03-03 17:57:39,315 - movie_logger - INFO - 269,클라우스
2022-03-03 17:57:39,353 - movie_logger - INFO - 270,클라우스
2022-03-03 17:57:39,484 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:39,530 - movie_logger - INFO - 271,클라우스
2022-03-03 17:57:39,570 - movie_logger - INFO - 272,클라우스
2022-03-03 17:57:39,610 - movie_logger - INFO - 273,클라우스
2022-03-03 17:57:39,647 - movie_logger - INFO - 274,클라우스
2022-03-03 17:57:39,683 - movie_logger - INFO - 275,클라우스
2022-03-03 17:57:39,720 - movie_logger - INFO - 276,클라우스
2022-03-03 17:57:39,757 - movie_logger - INFO - 277,클라우스
2022-03-03 17:57:39,799 - movie_logger - INFO - 278,클라우스
2022-03-03 17:57:39,846 - movie_logger - INFO - 279,클라우스
2022-03-03 17:57:39,884 - movie_logger - INFO - 280,클라우스
2022-03-03 17:57:40,030 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:40,076 - movie_logger - INFO - 281,클라우스
2022-03-03 17:57:40,114 - movie_logger - INFO - 282,클라우스
2022-03-03 17:57:40,152 - movie_logger - INFO - 283,클라우스
2022-03-03 17:57:40,191 - movie_logger - INFO - 284,클라우스
2022-03-03 17:57:40,229 - movie_logger - INFO - 285,클라우스
2022-03-03 17:57:40,266 - movie_logger - INFO - 286,클라우스
2022-03-03 17:57:40,304 - movie_logger - INFO - 287,클라우스
2022-03-03 17:57:40,343 - movie_logger - INFO - 288,클라우스
2022-03-03 17:57:40,385 - movie_logger - INFO - 289,클라우스
2022-03-03 17:57:40,424 - movie_logger - INFO - 290,클라우스
2022-03-03 17:57:40,546 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:40,597 - movie_logger - INFO - 291,클라우스
2022-03-03 17:57:40,637 - movie_logger - INFO - 292,클라우스
2022-03-03 17:57:40,675 - movie_logger - INFO - 293,클라우스
2022-03-03 17:57:40,712 - movie_logger - INFO - 294,클라우스
2022-03-03 17:57:40,751 - movie_logger - INFO - 295,클라우스
2022-03-03 17:57:40,788 - movie_logger - INFO - 296,클라우스
2022-03-03 17:57:40,828 - movie_logger - INFO - 297,클라우스
2022-03-03 17:57:40,867 - movie_logger - INFO - 298,클라우스
2022-03-03 17:57:40,906 - movie_logger - INFO - 299,클라우스
2022-03-03 17:57:40,946 - movie_logger - INFO - 300,클라우스
2022-03-03 17:57:41,071 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:41,117 - movie_logger - INFO - 301,클라우스
2022-03-03 17:57:41,157 - movie_logger - INFO - 302,클라우스
2022-03-03 17:57:41,196 - movie_logger - INFO - 303,클라우스
2022-03-03 17:57:41,235 - movie_logger - INFO - 304,클라우스
2022-03-03 17:57:41,273 - movie_logger - INFO - 305,클라우스
2022-03-03 17:57:41,311 - movie_logger - INFO - 306,클라우스
2022-03-03 17:57:41,315 - movie_logger - ERROR - 클라우스 수집완료...
2022-03-03 17:57:41,497 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 17:57:41,519 - movie_logger - INFO - 2-장민호 드라마 최종회 영화 제목 클릭... :
2022-03-03 17:57:42,248 - movie_logger - INFO - 영화 평점 클릭... :
2022-03-03 17:57:42,271 - movie_logger - INFO - 영화 제목 수집 : 장민호 드라마 최종회
2022-03-03 17:57:42,304 - movie_logger - INFO - iframe으로 전환
2022-03-03 17:57:42,364 - movie_logger - INFO - 1,장민호 드라마 최종회
2022-03-03 17:57:42,403 - movie_logger - INFO - 2,장민호 드라마 최종회
2022-03-03 17:57:42,443 - movie_logger - INFO - 3,장민호 드라마 최종회
2022-03-03 17:57:42,483 - movie_logger - INFO - 4,장민호 드라마 최종회
2022-03-03 17:57:42,523 - movie_logger - INFO - 5,장민호 드라마 최종회
2022-03-03 17:57:42,563 - movie_logger - INFO - 6,장민호 드라마 최종회
2022-03-03 17:57:42,603 - movie_logger - INFO - 7,장민호 드라마 최종회
2022-03-03 17:57:42,645 - movie_logger - INFO - 8,장민호 드라마 최종회
2022-03-03 17:57:42,685 - movie_logger - INFO - 9,장민호 드라마 최종회
2022-03-03 17:57:42,724 - movie_logger - INFO - 10,장민호 드라마 최종회
2022-03-03 17:57:42,847 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:42,898 - movie_logger - INFO - 11,장민호 드라마 최종회
2022-03-03 17:57:42,941 - movie_logger - INFO - 12,장민호 드라마 최종회
2022-03-03 17:57:42,985 - movie_logger - INFO - 13,장민호 드라마 최종회
2022-03-03 17:57:43,024 - movie_logger - INFO - 14,장민호 드라마 최종회
2022-03-03 17:57:43,067 - movie_logger - INFO - 15,장민호 드라마 최종회
2022-03-03 17:57:43,111 - movie_logger - INFO - 16,장민호 드라마 최종회
2022-03-03 17:57:43,153 - movie_logger - INFO - 17,장민호 드라마 최종회
2022-03-03 17:57:43,194 - movie_logger - INFO - 18,장민호 드라마 최종회
2022-03-03 17:57:43,234 - movie_logger - INFO - 19,장민호 드라마 최종회
2022-03-03 17:57:43,275 - movie_logger - INFO - 20,장민호 드라마 최종회
2022-03-03 17:57:43,404 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:43,450 - movie_logger - INFO - 21,장민호 드라마 최종회
2022-03-03 17:57:43,490 - movie_logger - INFO - 22,장민호 드라마 최종회
2022-03-03 17:57:43,526 - movie_logger - INFO - 23,장민호 드라마 최종회
2022-03-03 17:57:43,564 - movie_logger - INFO - 24,장민호 드라마 최종회
2022-03-03 17:57:43,600 - movie_logger - INFO - 25,장민호 드라마 최종회
2022-03-03 17:57:43,638 - movie_logger - INFO - 26,장민호 드라마 최종회
2022-03-03 17:57:43,677 - movie_logger - INFO - 27,장민호 드라마 최종회
